execution_date,signal_date,ticker,rank_selected,primary_etf,entry_price,exit_date,exit_price,exit_reason,etf_signal_date,sector_open_lots,cooldown_until,allocation,net_proceeds,net_profit,return_pct
2016-01-26,2016-01-25,AMZN,1,XLY.US,30.172500000000003,2017-01-25,41.289500000000004,one_year,,,,1000.0,1365.7125624161074,365.7125624161074,0.3657125624161075
2016-02-26,2016-02-25,TSN,1,XLP.US,50.719928571428575,2017-02-27,48.691108980115466,one_year,,,,1000.0,958.0805182883862,-41.9194817116138,-0.04191948171161375
2016-03-28,2016-03-24,TSN,1,XLP.US,51.38837984588025,2017-03-28,47.9914303138143,one_year,,,,1000.0,932.0296843033613,-67.97031569663875,-0.0679703156966387
2016-04-26,2016-04-25,TSN,1,XLP.US,49.32149999999999,2017-04-26,50.62699048504572,one_year,,,,1000.0,1024.417082429896,24.417082429896027,0.02441708242989593
2016-05-26,2016-05-25,EW,1,XLV.US,33.3333,2017-05-26,38.166700000000006,one_year,,,,1000.0,1142.713285714286,142.71328571428603,0.1427132857142861
2016-06-27,2016-06-24,NVDA,1,SMH.US,1.1117967506631299,2017-06-27,3.7336189930413424,one_year,,,,1000.0,3351.471828328147,2351.471828328147,2.3514718283281466
2016-07-26,2016-07-25,NVDA,1,SMH.US,1.3770229736888575,2017-07-26,4.13395460958986,one_year,,,,1000.0,2996.094410301031,1996.094410301031,1.9960944103010312
2016-08-26,2016-08-25,NVDA,1,SMH.US,1.5151493632113495,2017-08-28,4.061176359338062,one_year,,,,1000.0,2675.022124026977,1675.022124026977,1.675022124026977
2016-09-26,2016-09-23,NVDA,1,SMH.US,1.5770071806030461,2017-09-26,4.353993021632937,one_year,,,,1000.0,2755.402412258553,1755.4024122585529,1.7554024122585528
2016-10-26,2016-10-25,NVDA,1,SMH.US,1.7504409783813748,2017-10-26,4.806345055955849,one_year,,,,1000.0,2740.3021475334263,1740.3021475334263,1.7403021475334262
2016-11-28,2016-11-25,NVDA,1,SMH.US,2.308896780363405,2017-11-28,5.29288144843624,one_year,,,,1000.0,2287.802998967072,1287.8029989670722,1.2878029989670723
2016-12-27,2016-12-23,NVDA,1,SMH.US,2.7563206784861918,2017-12-27,4.862032915757975,one_year,,,,1000.0,1760.4314874655042,760.4314874655042,0.7604314874655043
2017-01-26,2017-01-25,NVDA,1,SMH.US,2.654054628362973,2018-01-26,5.8798504911026175,one_year,,,,1000.0,2210.9931752197426,1210.9931752197426,1.2109931752197425
2017-02-27,2017-02-24,NVDA,1,SMH.US,2.516972320658941,2018-02-09,5.883054442433643,etf_rotation_risk_off,2018-02-08,7,2018-08-08,1000.0,2332.68128076439,1332.68128076439,1.33268128076439
2017-03-27,2017-03-24,NVDA,1,SMH.US,2.6002427713625864,2018-02-09,5.883054442433643,etf_rotation_risk_off,2018-02-08,7,2018-08-08,1000.0,2257.979247655605,1257.979247655605,1.257979247655605
2017-04-26,2017-04-25,MU,1,DRAM.US,25.919121388577825,2018-04-26,48.054781651376146,one_year,,,,1000.0,1850.3219852193656,850.3219852193656,0.8503219852193655
2017-05-26,2017-05-25,MU,1,DRAM.US,28.54228249327957,2018-05-29,59.83442695624401,one_year,,,,1000.0,2092.152859562603,1092.1528595626032,1.0921528595626033
2017-06-26,2017-06-23,NVDA,1,SMH.US,3.8253084193230364,2018-02-09,5.883054442433643,etf_rotation_risk_off,2018-02-08,7,2018-08-08,1000.0,1534.8551209479363,534.8551209479363,0.5348551209479362
2017-07-26,2017-07-25,NVDA,1,SMH.US,4.13395460958986,2018-02-09,5.883054442433643,etf_rotation_risk_off,2018-02-08,7,2018-08-08,1000.0,1420.2609295668403,420.26092956684033,0.42026092956684025
2017-08-28,2017-08-25,NVDA,1,SMH.US,4.061176359338062,2018-02-09,5.883054442433643,etf_rotation_risk_off,2018-02-08,7,2018-08-08,1000.0,1445.71269432884,445.7126943288399,0.44571269432883986
2017-09-26,2017-09-25,NVDA,1,SMH.US,4.353993021632937,2018-02-09,5.883054442433643,etf_rotation_risk_off,2018-02-08,7,2018-08-08,1000.0,1348.484985490681,348.4849854906811,0.3484849854906811
2017-10-26,2017-10-25,NVDA,1,SMH.US,4.806345055955849,2018-02-09,5.883054442433643,etf_rotation_risk_off,2018-02-08,7,2018-08-08,1000.0,1221.5715160374768,221.57151603747684,0.22157151603747693
2017-11-27,2017-11-24,ALGN,1,XLV.US,255.78,2018-03-23,260.13,etf_rotation_risk_off,2018-03-22,4,2018-09-22,1000.0,1014.973806122449,14.973806122448991,0.014973806122448918
2017-12-26,2017-12-22,ALGN,1,XLV.US,222.36,2018-03-23,260.13,etf_rotation_risk_off,2018-03-22,4,2018-09-22,1000.0,1167.5211374797625,167.5211374797625,0.1675211374797625
2018-01-26,2018-01-25,ALGN,1,XLV.US,275.16,2018-03-23,260.13,etf_rotation_risk_off,2018-03-22,4,2018-09-22,1000.0,943.4874259703445,-56.512574029655525,-0.05651257402965548
2018-02-26,2018-02-23,ALGN,1,XLV.US,266.8,2018-03-23,260.13,etf_rotation_risk_off,2018-03-22,4,2018-09-22,1000.0,973.050975,-26.949025000000006,-0.02694902499999996
2018-03-26,2018-03-23,MU,3,DRAM.US,54.86119575233982,2018-12-20,30.814343989769824,stop_close_next_open,,,,1000.0,560.5555200612388,-439.4444799387612,-0.43944447993876123
2018-04-26,2018-04-25,NFLX,1,XLC.US,30.999999999999996,2019-04-26,36.835,one_year,,,,1000.0,1185.8505430645162,185.85054306451616,0.1858505430645161
2018-05-29,2018-05-25,NFLX,2,XLC.US,35.15,2019-05-29,35.36,one_year,,,,1000.0,1003.963452631579,3.9634526315790026,0.003963452631579045
2018-06-26,2018-06-25,NFLX,1,XLC.US,39.328,2018-12-26,23.392,stop_close_next_open,,,,1000.0,593.6035240032546,-406.3964759967454,-0.40639647599674533
2018-07-26,2018-07-25,GWW,1,XLI.US,309.55502629647026,2019-07-26,275.13285770513676,one_year,,,,1000.0,887.0244182680718,-112.97558173192817,-0.11297558173192812
2018-08-27,2018-08-24,HFC,1,XLE.US,67.66564850453375,2019-05-09,40.05793094582185,stop_close_next_open,,,,1000.0,590.8146308415643,-409.1853691584357,-0.40918536915843573
2018-09-26,2018-09-25,ABMD,1,XLV.US,443.49,2019-04-17,267.58,stop_close_next_open,,,,1000.0,602.1445975782993,-397.85540242170066,-0.3978554024217007
2018-10-26,2018-10-25,AAP,1,XLV.US,141.03414056517775,2019-10-28,144.97131076257438,one_year,,,,1000.0,1025.8616284863072,25.861628486307154,0.02586162848630713
2018-11-26,2018-11-23,AAP,1,XLV.US,156.0446134199865,2019-11-26,139.31084084282892,one_year,,,,1000.0,890.9782620806351,-109.02173791936491,-0.10902173791936487
2018-12-26,2018-12-24,AES,1,XLU.US,10.518593837535013,2019-12-27,15.630844744744746,one_year,,,,1000.0,1483.0498189248174,483.0498189248174,0.48304981892481735
2019-01-28,2019-01-25,XLNX,1,SMH.US,104.02389963423555,2019-05-14,108.78254440713906,etf_rotation_risk_off,2019-05-13,4,2019-11-13,1000.0,1043.6552415608448,43.65524156084484,0.04365524156084488
2019-02-26,2019-02-25,XLNX,1,SMH.US,121.36575582342401,2019-05-14,108.78254440713906,etf_rotation_risk_off,2019-05-13,4,2019-11-13,1000.0,894.5281753019475,-105.4718246980525,-0.1054718246980525
2019-03-26,2019-03-25,XLNX,1,SMH.US,121.99689220563849,2019-05-14,108.78254440713906,etf_rotation_risk_off,2019-05-13,4,2019-11-13,1000.0,889.9004403970504,-110.09955960294963,-0.11009955960294959
2019-04-26,2019-04-25,AMD,1,SMH.US,27.66,2019-05-14,26.53,etf_rotation_risk_off,2019-05-13,4,2019-11-13,1000.0,957.2294479392624,-42.7705520607376,-0.042770552060737654
2019-05-28,2019-05-24,AZO,2,XLY.US,1055.25,2020-05-27,1140.0,one_year,,,,1000.0,1078.1531769722815,78.15317697228147,0.07815317697228141
2019-06-26,2019-06-25,BLL,1,XLB.US,66.68510191881919,2020-06-25,67.90445531791906,one_year,,,,1000.0,1016.2496923861421,16.2496923861421,0.016249692386142156
2019-07-26,2019-07-25,BLL,2,XLB.US,69.96305724979207,2020-07-27,72.42356443610032,one_year,,,,1000.0,1033.099360891742,33.09936089174198,0.033099360891742036
2019-08-26,2019-08-23,BLL,1,XLB.US,76.72452348908074,2020-08-25,76.38019819284885,one_year,,,,1000.0,993.5221583684371,-6.47784163156291,-0.006477841631562953
2019-09-26,2019-09-25,MKTX,1,XLF.US,310.9713680090361,2020-09-25,422.08838505912706,one_year,,,,1000.0,1354.6090531561524,354.6090531561524,0.3546090531561523
2019-10-28,2019-10-25,PHM,3,XLY.US,37.660512338484935,2020-03-18,19.655877286742033,stop_close_next_open,,,,1000.0,520.8794031195329,-479.12059688046713,-0.47912059688046715
2019-11-26,2019-11-25,TGT,1,XLY.US,104.78494057845377,2020-11-25,151.68418344455566,one_year,,,,1000.0,1444.6824698870655,444.6824698870655,0.4446824698870655
2019-12-26,2019-12-24,LRCX,1,SMH.US,27.42474873525024,2020-05-18,24.27073554977279,etf_rotation_risk_off,2020-05-15,4,2020-11-15,1000.0,883.2248048374973,-116.77519516250265,-0.11677519516250268
2020-01-27,2020-01-24,AMD,1,SMH.US,48.45,2020-05-18,54.98,etf_rotation_risk_off,2020-05-15,4,2020-11-15,1000.0,1132.5097003095975,132.50970030959752,0.1325097003095974
2020-02-26,2020-02-25,AMD,1,SMH.US,47.7,2020-05-18,54.98,etf_rotation_risk_off,2020-05-15,4,2020-11-15,1000.0,1150.3164566037733,150.3164566037733,0.15031645660377335
2020-03-26,2020-03-25,ODFL,1,XLI.US,66.50203630156473,2021-03-26,112.34940290986215,one_year,,,,1000.0,1686.0358372335606,686.0358372335606,0.6860358372335607
2020-04-27,2020-04-24,AMD,1,SMH.US,57.44,2020-05-18,54.98,etf_rotation_risk_off,2020-05-15,4,2020-11-15,1000.0,955.2593137186631,-44.740686281336934,-0.04474068628133698
2020-05-26,2020-05-22,NEM,3,XLB.US,51.71193306873839,2021-05-26,63.07418070774696,one_year,,,,1000.0,1217.2837425519956,217.2837425519956,0.21728374255199556
2020-06-26,2020-06-25,REGN,2,XLV.US,606.0146851903952,2021-06-28,560.9071988612492,one_year,,,,1000.0,923.7167993624681,-76.28320063753188,-0.07628320063753191
2020-07-27,2020-07-24,DXCM,1,XLV.US,107.04,2021-07-27,113.0725,one_year,,,,1000.0,1054.2457779568385,54.24577795683854,0.0542457779568386
2020-08-26,2020-08-25,CARR,3,XLI.US,28.217964518208184,2021-08-26,53.90094153014987,one_year,,,,1000.0,1906.3456371319774,906.3456371319774,0.9063456371319774
2020-09-28,2020-09-25,DXCM,2,XLV.US,99.75,2021-09-28,135.235,one_year,,,,1000.0,1353.029225413534,353.02922541353405,0.3530292254135341
2020-10-26,2020-10-23,CARR,1,XLI.US,31.862008899436372,2021-10-26,51.142820212171976,one_year,,,,1000.0,1601.9261646578327,601.9261646578327,0.6019261646578327
2020-11-27,2020-11-25,ETSY,1,XLY.US,148.72,2021-03-05,201.01,etf_rotation_risk_off,2021-03-04,4,2021-09-04,1000.0,1348.8984737089834,348.8984737089834,0.3488984737089833
2020-12-28,2020-12-24,ETSY,1,XLY.US,193.58,2021-03-05,201.01,etf_rotation_risk_off,2021-03-04,4,2021-09-04,1000.0,1036.3063385163757,36.30633851637572,0.03630633851637577
2021-01-26,2021-01-25,ETSY,1,XLY.US,225.94,2021-03-05,201.01,etf_rotation_risk_off,2021-03-04,4,2021-09-04,1000.0,887.882539656546,-112.11746034345401,-0.11211746034345405
2021-02-26,2021-02-25,TSLA,1,XLY.US,233.3333,2021-03-05,208.6867,etf_rotation_risk_off,2021-03-04,4,2021-09-04,1000.0,892.5838501692643,-107.41614983073566,-0.10741614983073566
2021-03-26,2021-03-25,VIAC,2,XLC.US,64.00012025710139,2021-04-16,38.254030749682336,stop_close_next_open,,,,1000.0,596.5232688446015,-403.4767311553985,-0.4034767311553985
2021-04-26,2021-04-23,FCX,1,XLB.US,34.639714212548014,2022-04-26,39.153528546540564,one_year,,,,1000.0,1128.0480088031807,128.04800880318066,0.12804800880318057
2021-05-26,2021-05-25,FCX,1,XLB.US,38.25301079380445,2022-05-26,35.51092946219797,one_year,,,,1000.0,926.4615354131281,-73.5384645868719,-0.07353846458687185
2021-06-28,2021-06-25,GNRC,2,XLI.US,399.98,2022-04-25,234.03,stop_close_next_open,,,,1000.0,583.9346318065903,-416.06536819340965,-0.41606536819340967
2021-07-26,2021-07-23,SIVB,1,XLF.US,571.94,2022-07-26,385.58,one_year,,,,1000.0,672.8139762562506,-327.1860237437494,-0.3271860237437494
2021-08-26,2021-08-25,DVN,1,XLE.US,22.640735647988997,2022-06-21,49.91373315719947,etf_rotation_risk_off,2022-06-17,7,2022-12-17,1000.0,2200.1915652878893,1200.1915652878893,1.2001915652878892
2021-09-27,2021-09-24,MRNA,1,XLV.US,430.6,2021-11-08,233.06,stop_close_next_open,,,,1000.0,540.1628264282396,-459.83717357176045,-0.45983717357176046
2021-10-26,2021-10-25,MRNA,1,XLV.US,352.0,2022-01-14,204.01,stop_close_next_open,,,,1000.0,578.4152954829545,-421.58470451704545,-0.42158470451704544
2021-11-26,2021-11-24,DVN,1,XLE.US,33.3725669086651,2022-06-21,49.91373315719947,etf_rotation_risk_off,2022-06-17,7,2022-12-17,1000.0,1492.661794369919,492.6617943699191,0.4926617943699192
2021-12-27,2021-12-23,BBWI,1,XLY.US,62.44138830945558,2022-05-20,35.8265913414319,stop_close_next_open,,,,1000.0,572.6165761744595,-427.3834238255405,-0.4273834238255405
2022-01-26,2022-01-25,DVN,1,XLE.US,42.09590268391581,2022-06-21,49.91373315719947,etf_rotation_risk_off,2022-06-17,7,2022-12-17,1000.0,1183.344516416591,183.34451641659098,0.183344516416591
2022-02-28,2022-02-25,DVN,1,XLE.US,44.72689294710327,2022-06-21,49.91373315719947,etf_rotation_risk_off,2022-06-17,7,2022-12-17,1000.0,1113.736106452358,113.73610645235794,0.11373610645235788
2022-03-28,2022-03-25,DVN,1,XLE.US,50.05432555831266,2022-06-21,49.91373315719947,etf_rotation_risk_off,2022-06-17,7,2022-12-17,1000.0,995.1978185498791,-4.802181450120884,-0.0048021814501209015
2022-04-26,2022-04-25,DVN,1,XLE.US,46.87712021276596,2022-06-21,49.91373315719947,etf_rotation_risk_off,2022-06-17,7,2022-12-17,1000.0,1062.6496546401006,62.64965464010061,0.06264965464010053
